Index,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
6160,1654739491,-8.159,53.71,161,400,13175,20097,939.654,1.19,1.23,8.16,1.273,0.029,6160,1
43312,1654779661,26.96,47.91,1176,400,12912,19435,938.715,1.68,1.74,11.54,1.799,0.041,18318,1
6392,1654739723,-7.41,50.87,203,400,13146,20063,939.646,0.82,0.85,5.65,0.881,0.02,6392,1
11079,1654744410,7.19,47.97,1000,634,12805,19489,939.1,2.42,2.51,16.65,2.597,0.059,11079,1
47362,1654783711,24.52,53.48,1333,404,12964,19392,938.733,2.24,2.33,15.43,2.406,0.054,22368,1
23922,1654757253,-15.576,53.03,1419,416,12972,19380,938.725,1.57,1.63,10.8,1.684,0.038,23922,1
49501,1654785850,26.91,47.81,1366,413,12988,19386,938.791,2.08,2.16,14.31,2.231,0.05,24507,1
62106,1655129528,-20.628,13.17,60000,4629,11717,17132,936.709,4680.66,6363.48,28445.16,6818.049,1569.93,5220,0
44650,1654780999,25.06,51.04,1283,430,12910,19406,938.709,1.54,1.6,10.59,1.651,0.037,19656,1
40862,1654777211,27.12,47.18,1099,400,12880,19456,938.798,1.58,1.64,10.86,1.693,0.038,15868,1
61915,1655129337,-11.336,22.37,60000,15320,11111,16188,936.85,9476.55,12894.93,57562.25,13817.496,3189.484,5029,0
22636,1654755967,-20.058,48.33,1352,402,12968,19389,938.765,1.87,1.94,12.85,2.004,0.045,22636,1
2703,1654736034,15.205,52.54,100,400,13193,20072,939.65,0.97,1.01,6.69,1.043,0.024,2703,0
9098,1654742429,-5.241,54.7,354,400,13062,19908,939.3,0.54,0.57,3.75,0.585,0.013,9098,1
50627,1654903644,38.24,15.4,5,2413,12669,20398,930.915,0.85,0.89,5.88,0.916,0.021,639,1
38148,1654774497,26.85,47.77,1088,531,12840,19456,938.91,1.84,1.91,12.64,1.971,0.045,13154,1
56893,1655124315,20.441,44.2,43,454,12854,20738,937.58,2.41,2.5,16.58,2.585,0.058,7,0
61326,1655128748,20.436,24.05,13794,533,12744,19092,936.914,0.91,0.94,6.25,0.975,0.022,4440,0
1923,1654735254,23.199,51.39,74,400,13115,19976,939.618,0.61,0.64,4.22,0.658,0.015,1923,0
24264,1654757595,-8.158,47.32,1187,400,13015,19426,938.774,2.45,2.54,16.84,2.627,0.059,24264,1
56530,1654717575,56.01,11.83,9229,400,13271,19426,936.702,4.98,5.17,34.24,5.34,0.121,5388,0
28039,1654764388,18.85,50.04,180,400,13142,19989,939.665,0.68,0.7,4.67,0.727,0.016,3045,0
500,1654733831,25.349,55.66,19,400,12777,19774,939.829,0.26,0.27,1.79,0.279,0.006,500,0
26136,1654762485,16.14,52.91,0,400,13065,19964,939.755,0.35,0.36,2.41,0.375,0.008,1142,0
6196,1654739527,-8.05,49.6,165,400,13173,20104,939.662,0.82,0.85,5.65,0.882,0.02,6196,1
26302,1654762651,17.07,50.57,0,400,13098,19984,939.718,0.48,0.5,3.32,0.517,0.012,1308,0
6405,1654739736,-7.366,54.82,192,400,13159,20072,939.657,0.83,0.87,5.74,0.895,0.02,6405,1
1261,1654734592,26.838,49.29,22,400,13075,19946,939.709,0.43,0.45,2.96,0.462,0.01,1261,0
36427,1654772776,26.78,47.3,1027,616,12804,19468,939.093,2.17,2.26,14.96,2.333,0.053,11433,1
61346,1655128768,20.197,23.41,21956,658,12678,18911,936.891,0.77,0.8,5.27,0.822,0.019,4460,0
43185,1654779534,26.75,48.68,1096,400,12915,19447,938.69,1.45,1.51,9.99,1.558,0.035,18191,1
60886,1655128308,15.77,64.93,2145,400,13361,20075,937.026,0.82,0.85,5.61,0.875,0.02,4000,0
29519,1654765868,22.4,47.63,57,400,13248,20156,939.619,1.98,2.06,13.65,2.129,0.048,4525,1
1202,1654734533,26.965,50.1,13,400,13070,19960,939.746,0.46,0.47,3.14,0.489,0.011,1202,0
30214,1654766563,19.65,55.01,2,400,13257,20219,939.729,2.25,2.34,15.48,2.414,0.055,5220,1
1686,1654735017,24.924,52.55,23,400,13134,20024,939.6,1.18,1.23,8.13,1.267,0.029,1686,0
1959,1654735290,22.902,48.28,54,400,13130,19996,939.562,0.8,0.83,5.48,0.855,0.019,1959,0
38146,1654774495,26.77,48.04,1097,533,12841,19456,938.912,1.94,2.02,13.38,2.086,0.047,13152,1
16308,1654749639,12.464,53.03,1164,417,12877,19442,938.766,1.55,1.61,10.64,1.66,0.037,16308,1
40165,1654776514,24.59,53.05,1134,438,12870,19448,938.805,2.04,2.11,14.01,2.184,0.049,15171,1
18023,1654751354,18.363,47.54,1140,400,12916,19448,938.712,2.0,2.07,13.74,2.142,0.048,18023,1
24375,1654757706,-5.049,48.28,1318,405,12992,19399,938.781,1.79,1.86,12.33,1.923,0.043,24375,1
35508,1654771857,23.34,55.39,915,687,12785,19503,939.108,2.17,2.26,14.94,2.33,0.053,10514,1
53846,1654714891,26.12,47.68,174,438,12773,20541,937.361,1.72,1.78,11.82,1.843,0.042,2704,0
53278,1654714323,28.56,42.19,116,400,12795,20602,937.331,1.82,1.89,12.51,1.951,0.044,2136,0
60010,1655127432,19.498,47.79,213,440,12764,20498,937.383,1.26,1.31,8.67,1.353,0.031,3124,0
53432,1654714477,25.91,47.66,138,400,12790,20580,937.346,1.66,1.73,11.43,1.783,0.04,2290,0
45194,1654781543,24.78,52.02,1059,400,12954,19466,938.743,2.05,2.13,14.14,2.205,0.05,20200,1
54383,1654715428,26.35,47.27,199,438,12766,20515,937.379,1.66,1.72,11.39,1.777,0.04,3241,0
41482,1654777831,24.64,53.05,1151,401,12888,19442,938.765,1.88,1.96,12.96,2.021,0.046,16488,1
28372,1654764721,22.08,55.99,273,400,13149,19945,939.664,1.72,1.78,11.8,1.841,0.042,3378,1
6707,1654740038,-6.303,55.4,215,400,13147,20049,939.607,0.62,0.64,4.27,0.666,0.015,6707,1
6367,1654739698,-7.495,51.2,169,400,13170,20094,939.661,0.89,0.93,6.13,0.956,0.022,6367,1
3457,1654736788,5.906,55.29,311,400,13109,19889,939.697,1.24,1.29,8.56,1.335,0.03,3457,1
57270,1655124692,25.018,45.17,19,400,12847,20751,937.568,2.15,2.24,14.81,2.309,0.052,384,0
31632,1654767981,19.19,53.79,215,400,13136,20038,939.596,0.7,0.72,4.8,0.748,0.017,6638,1
27246,1654763595,19.82,48.83,0,400,13220,20159,939.624,1.07,1.11,7.36,1.147,0.026,2252,0
43246,1654779595,26.75,48.52,1182,400,12913,19431,938.705,1.9,1.98,13.09,2.041,0.046,18252,1
4268,1654737599,-3.198,50.68,101,400,13244,20128,939.678,1.94,2.01,13.35,2.081,0.047,4268,1
158,1654733489,22.117,54.59,29,417,12559,19641,939.813,0.0,0.0,0.0,0.004,0.002,158,0
54054,1654715099,28.38,43.6,162,404,12784,20561,937.405,1.67,1.73,11.46,1.787,0.04,2912,0
36202,1654772551,24.72,50.52,1117,652,12792,19446,939.079,1.9,1.98,13.11,2.044,0.046,11208,1
53733,1654714778,25.91,48.36,165,421,12772,20553,937.32,1.65,1.71,11.36,1.771,0.04,2591,0
26159,1654762508,14.94,50.16,38,400,13044,19929,939.784,0.4,0.42,2.75,0.429,0.01,1165,0
52740,1654713785,28.75,41.63,81,400,12794,20642,937.426,1.77,1.84,12.17,1.897,0.043,1598,0
28075,1654764424,21.19,45.95,145,400,13172,20029,939.67,0.94,0.97,6.45,1.006,0.023,3081,0
21301,1654754632,-1.981,54.13,1272,400,12966,19418,938.688,2.15,2.24,14.82,2.311,0.052,21301,1
52801,1654713846,28.76,41.58,81,400,12792,20638,937.403,1.85,1.92,12.72,1.984,0.045,1659,0
50011,1654903028,23.07,54.65,35,4634,12265,19650,931.229,125.46,146.97,821.74,154.534,19.177,23,0
24167,1654757498,-10.585,52.58,1149,400,13029,19437,938.78,1.98,2.06,13.63,2.126,0.048,24167,1
37900,1654774249,26.48,49.57,1028,533,12845,19477,938.911,2.11,2.19,14.52,2.265,0.051,12906,1
37649,1654773998,24.45,53.12,1105,558,12826,19448,938.97,1.85,1.92,12.73,1.985,0.045,12655,1
51621,1654712666,27.09,44.18,66,400,12830,20709,937.528,2.2,2.28,15.12,2.358,0.053,479,0
25955,1654762304,13.21,56.51,16,400,13011,19922,939.749,0.13,0.13,0.89,0.139,0.003,961,0
11521,1654744852,12.092,53.59,1122,623,12803,19450,939.06,1.96,2.04,13.49,2.103,0.047,11521,1
57461,1655124883,17.518,40.85,58,400,12836,20708,937.485,1.74,1.8,11.95,1.863,0.042,575,0
4762,1654738093,-7.117,48.19,32,400,13261,20194,939.669,2.36,2.45,16.21,2.528,0.057,4762,1
59777,1655127199,20.272,48.47,175,429,12773,20537,937.419,1.85,1.93,12.76,1.989,0.045,2891,0
57331,1655124753,23.088,44.34,59,400,12844,20710,937.524,1.84,1.91,12.68,1.977,0.045,445,0
820,1654734151,26.851,51.08,0,400,12981,19922,939.791,0.11,0.11,0.76,0.118,0.003,820,0
23453,1654756784,-21.004,53.96,1402,410,12970,19383,938.692,1.7,1.76,11.69,1.822,0.041,23453,1
41181,1654777530,24.68,52.96,1197,410,12876,19431,938.768,1.95,2.03,13.42,2.092,0.047,16187,1
41486,1654777835,24.57,53.32,1153,411,12886,19449,938.766,1.8,1.87,12.39,1.932,0.044,16492,1
57922,1655125344,-5.317,47.07,89,400,12785,20657,937.447,1.84,1.91,12.63,1.97,0.044,1036,0
9643,1654742974,-4.478,55.11,785,813,12722,19535,939.169,2.98,3.1,20.5,3.197,0.072,9643,1
29280,1654765629,22.42,47.56,104,400,13227,20112,939.661,1.88,1.95,12.93,2.017,0.046,4286,1
2902,1654736233,12.806,46.14,144,400,13160,20025,939.638,0.87,0.9,5.98,0.932,0.021,2902,0
26566,1654762915,15.86,53.81,26,400,13104,19997,939.656,0.71,0.73,4.86,0.757,0.017,1572,0
26110,1654762459,14.24,53.43,22,400,13036,19930,939.75,0.31,0.32,2.12,0.33,0.007,1116,0
17293,1654750624,15.317,48.31,1136,403,12900,19437,938.767,1.76,1.83,12.12,1.89,0.043,17293,1
2177,1654735508,20.928,54.32,0,400,13181,20110,939.599,0.96,1.0,6.62,1.033,0.023,2177,0
58825,1655126247,-4.688,48.01,134,401,12786,20601,937.356,1.71,1.78,11.79,1.839,0.042,1939,0
847,1654734178,26.916,56.26,8,400,12976,19904,939.773,0.21,0.22,1.45,0.226,0.005,847,0
44700,1654781049,27.05,47.58,1182,406,12928,19435,938.691,1.71,1.78,11.76,1.834,0.041,19706,1
30362,1654766711,22.26,48.37,7,400,13258,20225,939.718,2.49,2.59,17.16,2.677,0.06,5368,1
30068,1654766417,20.66,49.35,64,400,13223,20155,939.665,2.36,2.45,16.25,2.535,0.057,5074,1
51581,1654712626,26.5,46.31,55,406,12834,20716,937.511,1.72,1.79,11.84,1.846,0.042,439,0
61802,1655129224,-3.529,29.25,60000,5132,11632,17007,936.865,1439.7,1495.79,9908.85,1545.167,34.899,4916,0
35237,1654771586,25.44,50.22,868,693,12776,19509,939.061,2.27,2.36,15.62,2.435,0.055,10243,1
54781,1654715826,27.76,38.75,0,400,13332,21181,937.451,1.85,1.93,12.77,1.991,0.045,3639,0
19156,1654752487,20.718,48.11,1193,400,12922,19429,938.734,1.49,1.54,10.23,1.595,0.036,19156,1
53912,1654714957,25.96,48.37,152,418,12775,20562,937.351,1.67,1.73,11.49,1.791,0.04,2770,0
57615,1655125037,9.449,46.23,78,452,12784,20678,937.556,2.31,2.4,15.92,2.483,0.056,729,0
60382,1655127804,12.61,45.51,0,400,13157,20928,937.468,1.93,2.0,13.25,2.066,0.047,3496,0
47358,1654783707,24.61,53.1,1392,410,12960,19380,938.737,2.28,2.37,15.69,2.446,0.055,22364,1
31251,1654767600,21.62,49.55,165,400,13178,20100,939.656,0.86,0.9,5.93,0.925,0.021,6257,1
57975,1655125397,-6.975,46.71,112,406,12774,20625,937.506,2.43,2.53,16.76,2.613,0.059,1089,0
40122,1654776471,26.63,49.07,982,410,12882,19478,938.817,1.85,1.93,12.76,1.99,0.045,15128,1
42057,1654778406,27.04,47.52,1163,400,12890,19436,938.788,1.94,2.02,13.38,2.086,0.047,17063,1
54118,1654715163,28.56,43.01,173,420,12771,20551,937.351,1.78,1.85,12.26,1.912,0.043,2976,0
6069,1654739400,-8.418,50.88,132,400,13200,20134,939.631,1.03,1.07,7.08,1.105,0.025,6069,1
25097,1654761446,11.04,55.53,16,406,12537,19629,939.788,0.08,0.24,0.14,0.27,0.154,103,0
33215,1654769564,20.75,50.9,309,400,13108,19953,939.417,0.24,0.25,1.64,0.256,0.006,8221,1
59116,1655126538,-4.276,47.57,120,400,12786,20596,937.311,2.0,2.08,13.75,2.144,0.048,2230,0
47624,1654783973,26.58,49.15,1293,400,12978,19411,938.764,1.97,2.05,13.55,2.113,0.048,22630,1
26682,1654763031,16.3,53.34,15,400,13139,20034,939.604,1.11,1.15,7.61,1.187,0.027,1688,0
62578,1655130000,9.111,16.25,675,400,13704,20516,936.677,0.57,0.6,3.94,0.615,0.014,5692,0
1877,1654735208,23.566,53.98,78,400,13113,19980,939.609,1.0,1.04,6.87,1.072,0.024,1877,0
12637,1654745968,20.439,50.79,1124,574,12824,19446,938.982,2.17,2.26,14.95,2.332,0.053,12637,1
38659,1654775008,24.72,52.46,1126,526,12843,19447,938.859,2.24,2.33,15.44,2.408,0.054,13665,1
58255,1655125677,-8.7,40.81,54,400,12796,20673,937.465,1.99,2.07,13.7,2.137,0.048,1369,0
38153,1654774502,26.99,47.28,1149,531,12839,19454,938.904,1.77,1.84,12.18,1.899,0.043,13159,1
60592,1655128014,12.205,38.94,0,400,13425,21283,937.397,2.03,2.11,14.01,2.184,0.049,3706,0
45526,1654781875,26.69,47.86,1048,400,12991,19460,938.716,1.89,1.96,13.0,2.026,0.046,20532,1
5641,1654738972,-9.217,55.23,31,400,13264,20224,939.736,2.64,2.74,18.17,2.833,0.064,5641,1
28141,1654764490,21.39,45.12,186,400,13148,19992,939.632,0.68,0.71,4.67,0.728,0.016,3147,0
12469,1654745800,19.838,52.74,1117,571,12827,19455,938.998,2.35,2.44,16.14,2.517,0.057,12469,1
25455,1654761804,13.53,54.47,0,400,12770,19790,939.818,0.27,0.31,1.75,0.33,0.041,461,0
1263,1654734594,26.833,49.08,14,400,13078,19957,939.709,0.42,0.44,2.91,0.454,0.01,1263,0
25301,1654761650,13.94,49.67,8,400,12670,19718,939.806,0.06,0.08,0.32,0.089,0.025,307,0
1592,1654734923,25.487,55.08,0,400,13163,20060,939.59,0.55,0.58,3.81,0.594,0.013,1592,0
60891,1655128313,15.858,63.79,2137,400,13358,20076,937.037,0.64,0.66,4.38,0.683,0.015,4005,0
54013,1654715058,28.91,42.05,178,415,12776,20546,937.421,1.69,1.75,11.61,1.811,0.041,2871,0
31095,1654767444,19.61,54.0,149,400,13182,20115,939.678,1.36,1.41,9.37,1.461,0.033,6101,1
27591,1654763940,19.89,51.66,52,400,13215,20130,939.636,1.04,1.08,7.16,1.116,0.025,2597,0
15769,1654749100,11.997,53.08,1164,402,12880,19444,938.812,2.02,2.1,13.91,2.169,0.049,15769,1
61464,1655128886,17.311,19.56,36914,729,12636,18680,936.86,0.9,0.93,6.18,0.964,0.022,4578,0
46995,1654783344,24.72,52.64,1383,413,12961,19388,938.722,2.05,2.13,14.13,2.204,0.05,22001,1
14662,1654747993,14.505,47.27,1124,453,12865,19455,938.857,2.1,2.18,14.45,2.253,0.051,14662,1
17082,1654750413,14.537,52.45,1174,418,12893,19434,938.798,1.89,1.96,12.99,2.026,0.046,17082,1
53199,1654714244,25.78,47.99,142,415,12779,20581,937.349,1.88,1.95,12.91,2.013,0.045,2057,0
54076,1654715121,27.06,43.04,196,451,12761,20527,937.409,1.92,1.99,13.19,2.057,0.046,2934,0
642,1654733973,26.186,50.86,11,400,12880,19842,939.805,0.24,0.25,1.63,0.254,0.006,642,0
29082,1654765431,21.85,50.49,120,400,13222,20090,939.625,2.11,2.2,14.55,2.269,0.051,4088,1
26352,1654762701,16.75,54.7,0,400,13112,20018,939.707,0.57,0.59,3.92,0.611,0.014,1358,0
44104,1654780453,27.12,47.4,1203,400,12923,19428,938.719,1.6,1.66,10.99,1.715,0.039,19110,1
59178,1655126600,-3.042,47.77,143,413,12782,20567,937.346,1.6,1.67,11.03,1.72,0.039,2292,0
2525,1654735856,17.263,53.2,60,400,13190,20120,939.624,1.12,1.16,7.7,1.2,0.027,2525,0
60259,1655127681,14.43,49.03,217,437,12766,20501,937.444,1.72,1.79,11.87,1.85,0.042,3373,0
21857,1654755188,-10.909,48.2,1285,400,12959,19404,938.715,1.87,1.94,12.88,2.008,0.045,21857,1
28176,1654764525,19.19,63.11,0,400,13457,20348,939.193,2.07,2.15,14.24,2.22,0.05,3182,1
47799,1654784148,26.29,51.04,1308,400,12978,19402,938.727,1.93,2.0,13.27,2.069,0.047,22805,1
60651,1655128073,12.604,38.41,0,400,13444,21284,937.392,1.85,1.92,12.71,1.981,0.045,3765,0
11218,1654744549,8.751,53.09,1051,654,12792,19461,939.096,2.09,2.17,14.35,2.238,0.051,11218,1
36464,1654772813,26.2,49.67,1007,601,12816,19472,939.088,2.25,2.34,15.49,2.416,0.055,11470,1
26057,1654762406,14.01,53.68,22,400,13027,19926,939.783,0.39,0.41,2.71,0.422,0.01,1063,0
3502,1654736833,5.352,53.19,301,400,13124,19908,939.656,1.28,1.33,8.82,1.375,0.031,3502,1
41930,1654778279,26.88,47.96,1191,417,12887,19439,938.756,1.52,1.58,10.44,1.628,0.037,16936,1
33917,1654770266,18.37,57.2,362,400,13064,19908,939.264,0.51,0.53,3.49,0.544,0.012,8923,1
60871,1655128293,15.51,71.55,1601,400,13418,20227,937.087,0.67,0.69,4.58,0.714,0.016,3985,0
59887,1655127309,20.805,47.2,189,432,12767,20529,937.354,1.89,1.97,13.04,2.033,0.046,3001,0
50865,1654903882,35.3,16.23,121,2501,12606,20481,930.891,1.05,1.09,7.23,1.127,0.025,877,1
61512,1655128934,15.311,13.4,5371,400,13035,19627,936.847,1.18,1.23,8.13,1.267,0.029,4626,0
62275,1655129697,-21.008,12.03,7968,400,13308,19506,936.71,4.57,4.75,31.46,4.906,0.111,5389,0
59614,1655127036,15.618,44.66,161,420,12774,20558,937.341,2.26,2.35,15.58,2.43,0.055,2728,0
11039,1654744370,6.743,53.06,1059,662,12791,19469,939.084,2.2,2.29,15.15,2.363,0.053,11039,1
2621,1654735952,16.166,46.55,62,400,13211,20114,939.651,0.91,0.94,6.26,0.976,0.022,2621,0
55477,1654716522,43.5,32.14,9098,400,12922,19377,936.864,0.45,0.47,3.11,0.485,0.011,4335,0
51237,1654712282,29.59,39.5,49,422,12860,20740,937.618,2.23,2.31,15.32,2.388,0.054,95,0
60132,1655127554,17.102,48.16,194,430,12766,20527,937.379,1.9,1.98,13.1,2.043,0.046,3246,0
25366,1654761715,11.98,51.4,33,400,12679,19712,939.806,0.04,0.06,0.26,0.062,0.013,372,0
48228,1654784577,26.71,48.6,1366,404,12969,19382,938.722,1.38,1.43,9.5,1.481,0.033,23234,1
32809,1654769158,20.16,54.71,282,400,13124,19985,939.401,0.32,0.33,2.19,0.342,0.008,7815,1
14836,1654748167,13.777,47.72,1099,447,12867,19451,938.849,1.8,1.87,12.37,1.929,0.044,14836,1
17352,1654750683,15.548,48.46,1159,400,12899,19435,938.767,1.73,1.79,11.89,1.854,0.042,17352,1
26618,1654762967,16.42,51.0,28,400,13115,20009,939.611,0.65,0.67,4.45,0.694,0.016,1624,0
61037,1655128459,18.532,50.15,6185,400,13088,19558,936.891,0.33,0.35,2.3,0.358,0.008,4151,0
49874,1654786223,24.68,52.76,1385,423,12983,19389,938.845,2.24,2.33,15.4,2.402,0.054,24880,1
46210,1654782559,25.02,50.93,1412,426,12944,19375,938.693,1.98,2.05,13.61,2.122,0.048,21216,1
14202,1654747533,16.725,52.15,1132,488,12857,19456,938.891,2.06,2.14,14.17,2.209,0.05,14202,1
51608,1654712653,29.51,40.01,58,400,12837,20708,937.531,1.86,1.93,12.77,1.991,0.045,466,0
8840,1654742171,-5.137,50.8,343,400,13078,19919,939.28,0.25,0.26,1.75,0.273,0.006,8840,1
32745,1654769094,18.33,56.42,303,400,13116,19969,939.428,0.42,0.44,2.89,0.451,0.01,7751,1
26968,1654763317,18.23,46.85,98,400,13102,19966,939.604,0.78,0.81,5.36,0.836,0.019,1974,0
48247,1654784596,25.3,49.28,1469,426,12957,19360,938.717,1.5,1.56,10.35,1.613,0.036,23253,1
58393,1655125815,-6.829,46.79,93,407,12782,20642,937.419,1.9,1.98,13.09,2.041,0.046,1507,0
61577,1655128999,11.883,16.69,222,400,13495,20930,936.831,1.75,1.82,12.05,1.879,0.042,4691,0
59129,1655126551,-4.066,48.28,104,400,12798,20608,937.349,1.85,1.92,12.71,1.982,0.045,2243,0
36888,1654773237,26.67,47.93,1082,591,12821,19457,939.041,1.98,2.06,13.63,2.125,0.048,11894,1
57413,1655124835,19.764,40.0,63,400,12830,20707,937.496,2.17,2.25,14.93,2.328,0.053,527,0
55120,1654716165,26.22,74.7,1423,400,13383,20268,937.067,0.84,0.87,5.77,0.9,0.02,3978,0
51918,1654712963,27.16,43.12,91,449,12767,20666,937.524,1.94,2.01,13.33,2.078,0.047,776,0
26561,1654762910,16.12,51.82,42,400,13098,19985,939.639,0.73,0.76,5.0,0.78,0.018,1567,0
54536,1654715581,28.4,43.54,218,400,12804,20493,937.433,1.61,1.67,11.08,1.728,0.039,3394,0
2332,1654735663,19.364,48.24,44,400,13191,20107,939.58,1.13,1.17,7.76,1.21,0.027,2332,0
60203,1655127625,15.567,49.07,217,442,12760,20502,937.415,1.26,1.31,8.66,1.35,0.03,3317,0
59261,1655126683,-0.43,42.95,191,447,12770,20531,937.334,1.87,1.94,12.88,2.008,0.045,2375,0
26480,1654762829,17.74,50.41,2,400,13122,20015,939.704,0.61,0.63,4.2,0.655,0.015,1486,0
53092,1654714137,28.27,43.16,125,400,12785,20595,937.349,1.74,1.81,12.0,1.872,0.042,1950,0
59974,1655127396,20.037,44.88,190,422,12778,20523,937.356,1.58,1.64,10.86,1.693,0.038,3088,0
62311,1655129733,-19.757,11.63,5317,400,13398,19664,936.689,0.59,0.62,4.1,0.639,0.014,5425,0
54842,1654715887,27.32,39.03,0,400,13432,21310,937.421,1.93,2.01,13.31,2.076,0.047,3700,0
61549,1655128971,13.45,14.17,683,400,13317,20447,936.825,1.0,1.04,6.9,1.075,0.024,4663,0
53369,1654714414,26.0,47.29,112,410,12789,20611,937.314,1.95,2.03,13.45,2.097,0.047,2227,0
54665,1654715710,28.39,39.28,0,400,13165,20983,937.461,2.02,2.1,13.93,2.173,0.049,3523,0
47097,1654783446,26.92,47.86,1318,400,12970,19394,938.736,1.77,1.84,12.18,1.899,0.043,22103,1
47883,1654784232,26.99,47.68,1329,402,12971,19394,938.749,1.73,1.8,11.9,1.856,0.042,22889,1
26198,1654762547,16.79,49.83,18,400,13061,19945,939.737,0.4,0.42,2.78,0.433,0.01,1204,0
10515,1654743846,1.203,55.51,921,692,12783,19500,939.107,2.24,2.33,15.43,2.406,0.054,10515,1
34339,1654770688,22.02,58.23,605,530,12875,19651,939.249,2.47,2.56,16.97,2.646,0.06,9345,1
52403,1654713448,26.53,45.63,75,400,12784,20651,937.469,1.99,2.07,13.72,2.14,0.048,1261,0
25204,1654761553,11.32,54.45,18,400,12593,19669,939.806,0.18,0.4,0.67,0.448,0.214,210,0
27651,1654764000,20.06,50.61,61,400,13201,20112,939.657,1.01,1.04,6.92,1.079,0.024,2657,0
1420,1654734751,26.318,52.1,2,400,13104,20002,939.678,0.76,0.79,5.25,0.819,0.019,1420,0
24939,1654758270,16.663,52.52,1327,419,12991,19400,938.85,1.93,2.01,13.3,2.074,0.047,24939,1
22771,1654756102,-20.958,47.6,1402,426,12958,19378,938.717,1.79,1.85,12.29,1.916,0.043,22771,1
26999,1654763348,18.36,53.66,34,400,13137,20010,939.615,0.63,0.66,4.37,0.681,0.015,2005,0
50580,1654903597,40.53,13.92,0,1169,13014,20497,930.948,0.68,0.71,4.68,0.729,0.016,592,1
55400,1654716445,38.89,22.9,1448,400,13097,20252,936.77,1.79,1.86,12.34,1.924,0.043,4258,0
33297,1654769646,18.48,55.9,331,400,13106,19932,939.411,0.33,0.34,2.27,0.354,0.008,8303,1
2873,1654736204,13.161,51.54,142,400,13161,20035,939.651,0.8,0.83,5.48,0.854,0.019,2873,0
49461,1654785810,24.45,53.55,1329,412,12981,19392,938.8,2.21,2.3,15.23,2.375,0.054,24467,1
11089,1654744420,7.302,49.22,1096,658,12791,19465,939.068,2.37,2.46,16.31,2.543,0.057,11089,1
58342,1655125764,-7.598,47.45,70,400,12779,20643,937.443,1.62,1.68,11.13,1.736,0.039,1456,0
16829,1654750160,13.709,47.31,1111,400,12893,19453,938.763,1.35,1.4,9.26,1.444,0.033,16829,1
4714,1654738045,-6.814,48.71,69,400,13226,20148,939.651,2.28,2.37,15.71,2.449,0.055,4714,1
57598,1655125020,10.373,40.14,75,441,12786,20687,937.523,2.21,2.29,15.18,2.367,0.053,712,0
18091,1654751422,18.637,47.27,1201,415,12898,19423,938.698,1.58,1.64,10.89,1.698,0.038,18091,1
26452,1654762801,15.35,54.64,38,400,13091,19981,939.694,0.56,0.58,3.83,0.597,0.013,1458,0
20400,1654753731,12.08,53.74,1247,400,12952,19410,938.742,2.17,2.25,14.92,2.327,0.053,20400,1
61022,1655128444,18.267,48.83,5747,400,13117,19589,936.894,0.43,0.45,2.97,0.463,0.01,4136,0
55959,1654717004,41.66,34.72,3080,400,13347,19888,936.868,0.7,0.72,4.79,0.747,0.017,4817,0
29211,1654765560,22.24,48.2,88,400,13239,20123,939.643,2.15,2.23,14.77,2.303,0.052,4217,1
43509,1654779858,25.17,50.3,1247,421,12906,19415,938.731,1.72,1.79,11.84,1.846,0.042,18515,1
1851,1654735182,23.767,47.62,65,400,13126,19989,939.593,0.57,0.59,3.91,0.609,0.014,1851,0
47239,1654783588,24.59,53.26,1394,403,12965,19387,938.692,1.92,1.99,13.2,2.059,0.047,22245,1
5827,1654739158,-8.97,51.87,8,400,13267,20245,939.661,2.25,2.34,15.5,2.417,0.055,5827,1
45408,1654781757,26.77,48.23,1251,400,12951,19413,938.753,1.96,2.04,13.49,2.104,0.048,20414,1
41936,1654778285,27.02,47.56,1140,403,12896,19447,938.775,1.36,1.41,9.36,1.46,0.033,16942,1
57639,1655125061,8.143,41.46,61,432,12785,20699,937.524,1.93,2.01,13.31,2.075,0.047,753,0
2685,1654736016,15.418,47.16,126,400,13168,20052,939.65,1.04,1.08,7.14,1.113,0.025,2685,0
48353,1654784702,26.84,48.19,1356,400,12972,19386,938.695,1.99,2.07,13.72,2.139,0.048,23359,1
60199,1655127621,15.652,48.84,214,445,12763,20508,937.406,1.33,1.38,9.15,1.426,0.032,3313,0
55747,1654716792,58.01,16.0,39355,829,12587,18637,936.896,0.81,0.84,5.59,0.872,0.02,4605,0
28820,1654765169,20.32,51.28,174,400,13207,20050,939.655,2.21,2.3,15.24,2.376,0.054,3826,1
59474,1655126896,9.252,48.07,165,429,12764,20546,937.329,1.57,1.63,10.81,1.686,0.038,2588,0
36699,1654773048,26.13,50.58,971,586,12817,19485,939.064,2.35,2.44,16.19,2.524,0.057,11705,1
14447,1654747778,15.509,52.74,1107,466,12861,19452,938.908,1.93,2.01,13.31,2.075,0.047,14447,1
62036,1655129458,-18.051,19.79,60000,26847,10853,15543,936.788,13293.19,40305.32,24924.21,45953.324,26039.898,5150,0
1613,1654734944,25.367,49.07,11,400,13138,20034,939.601,0.53,0.55,3.66,0.571,0.013,1613,0
